pitcher,taggedpitchtype,relspeed,spinrate,inducedvertbreak,horzbreak
"Johnson, Andrew",Fastball,90.23,2375.90,24.6253,6.1300
"Johnson, Andrew",Fastball,88.95,2276.78,18.9141,10.2916
"Johnson, Andrew",Fastball,91.13,2397.28,18.4862,7.8167
"Johnson, Andrew",Fastball,91.01,2282.33,20.8777,10.0710
"Johnson, Andrew",Fastball,89.30,2233.42,23.9869,6.5887
"Johnson, Andrew",Fastball,89.86,2262.81,17.9856,15.0572
"Johnson, Andrew",Fastball,91.68,2389.53,19.9180,9.3848
"Johnson, Andrew",Fastball,87.66,2283.96,20.9573,8.2104
"Johnson, Andrew",Fastball,90.91,2430.55,20.4716,10.7879
"Johnson, Andrew",Fastball,87.57,2256.34,19.9704,11.8130
"Johnson, Andrew",Fastball,90.94,2396.01,23.1040,7.5715
"Johnson, Andrew",Fastball,89.84,2430.05,20.5378,6.2824
"Johnson, Andrew",Fastball,88.88,2262.50,22.4459,9.4920
"Johnson, Andrew",Fastball,90.10,2399.53,17.7530,8.0994
"Johnson, Andrew",Fastball,90.22,2329.42,20.5314,9.7966
"Johnson, Andrew",Fastball,90.31,2442.66,19.5802,3.9810
"Johnson, Andrew",Fastball,90.93,2340.39,22.7467,9.9824
"Johnson, Andrew",Fastball,86.45,2212.19,23.3870,12.9214
"Johnson, Andrew",Fastball,89.97,2390.13,20.8514,10.1834
"Johnson, Andrew",Fastball,88.85,2335.41,18.4205,10.5793
"Johnson, Andrew",Fastball,88.40,2391.89,20.5805,10.4961
"Johnson, Andrew",Fastball,90.35,2345.77,20.3022,7.4231
"Johnson, Andrew",Fastball,90.53,2366.66,21.9258,10.7164
"Johnson, Andrew",Fastball,87.35,2177.21,20.5495,12.1931
"Johnson, Andrew",Fastball,88.04,2306.11,22.5386,10.1945
"Johnson, Andrew",Fastball,90.60,2382.15,21.6967,7.2073
"Johnson, Andrew",Fastball,88.90,2295.32,21.1110,5.0476
"Johnson, Andrew",Fastball,88.19,2296.00,20.3237,6.5121
"Johnson, Andrew",Fastball,87.81,2255.88,21.7799,9.5238
"Johnson, Andrew",Fastball,90.27,2396.20,21.2519,4.2581
"Johnson, Andrew",Fastball,86.65,2196.87,22.2533,12.2357
"Johnson, Andrew",Fastball,90.09,2290.80,16.4551,12.0535
"Johnson, Andrew",Fastball,87.79,2294.66,22.6779,6.4869
"Johnson, Andrew",Fastball,89.93,2332.72,20.2256,11.4091
"Johnson, Andrew",Fastball,90.09,2367.08,20.8911,9.0532
"Johnson, Andrew",Fastball,87.37,2265.46,22.1288,8.2084
"Johnson, Andrew",Fastball,90.00,2365.84,21.0926,10.5366
"Johnson, Andrew",Fastball,89.58,2376.55,19.8663,12.5354
"Johnson, Andrew",Fastball,89.06,2315.01,23.4317,9.9244
"Johnson, Andrew",Fastball,89.50,2452.41,20.3873,11.2163
"Johnson, Andrew",Fastball,89.20,2390.39,18.4166,12.7162
"Johnson, Andrew",Fastball,90.68,2413.79,23.8898,8.2266
"Johnson, Andrew",Fastball,90.24,2382.43,20.8179,10.3508
"Johnson, Andrew",Fastball,85.92,2296.38,22.7357,9.4617
"Johnson, Andrew",Fastball,87.83,2336.25,21.0670,8.8055
"Johnson, Andrew",Fastball,88.91,2338.48,21.7637,14.8284
"Johnson, Andrew",Fastball,89.71,2308.85,22.3029,12.5351
"Johnson, Andrew",Fastball,89.40,2327.33,22.6197,10.8672
"Johnson, Andrew",Fastball,86.36,2280.15,21.8587,13.4797
"Johnson, Andrew",Fastball,90.86,2439.86,19.6456,12.1901
"Johnson, Andrew",Fastball,87.71,2402.69,20.1645,8.9357
"Johnson, Andrew",Fastball,88.79,2409.90,20.2642,11.7832
"Johnson, Andrew",Fastball,87.18,2314.48,20.0090,13.5022
"Johnson, Andrew",Fastball,90.03,2439.58,23.1623,10.3346
"Johnson, Andrew",Fastball,85.67,2217.52,19.7697,14.3507
"Johnson, Andrew",Fastball,89.87,2410.33,21.9115,8.8454
"Johnson, Andrew",Fastball,88.63,2327.69,19.4647,10.5552
"Johnson, Andrew",Fastball,89.62,2405.73,20.0190,14.1640
"Johnson, Andrew",Fastball,89.35,2435.12,23.0588,10.9147
"Johnson, Andrew",Fastball,90.21,2550.62,19.7743,13.8060
"Johnson, Andrew",Fastball,87.46,2304.99,21.8867,8.4777
"Johnson, Andrew",Fastball,89.55,2372.57,22.2225,7.4474
"Johnson, Andrew",Fastball,85.82,2287.18,16.2425,18.4656
"Johnson, Andrew",Fastball,85.57,2224.68,18.9184,14.4562
"Johnson, Andrew",Fastball,88.31,2343.17,22.3306,9.1011
"Johnson, Andrew",Fastball,89.61,2396.08,20.0493,10.0662
